sanger_batch	sanger_plate_well	bacteria_plate_well	location	google_drive_id
batch20250620	C09	G02	Haunisten Allas	HA_G02
batch20250620	C10	E01	Turun Linna	TL_E01
batch20250620	D01	C03	Turun Linna	TL_C3
batch20250620	D02	B05	Turun Linna	TL_B5
batch20250620	D03	B06	Turun Linna	TL_B6
batch20250620	D04	C07	Turun Linna	TL_C7
batch20250620	D05	E08	Turun Linna	TL_E8
batch20250620	D06	H09	Turun Linna	TL_H9
batch20250620	D07	F11	Turun Linna	TL_F11
batch20250620	D08	A10	Haunisten Allas	HA_A10
batch20250620	D09	G05	Haunisten Allas	HA_G05
batch20250620	E01	D03	Turun Linna	TL_D3
batch20250620	E02	C05	Turun Linna	TL_C5
batch20250620	E03	C06	Turun Linna	TL_C6
batch20250620	E04	E07	Turun Linna	TL_E7
batch20250620	E05	F08	Turun Linna	TL_F8
batch20250620	E06	E10	Turun Linna	TL_E10
batch20250620	E07	H11	Turun Linna	TL_H11
batch20250620	E08	B05	Haunisten Allas	HA_B05
batch20250620	E09	H10	Haunisten Allas	HA_H10
batch20250620	F01	A04	Turun Linna	TL_A4
batch20250620	F02	D05	Turun Linna	TL_D5
batch20250620	F03	D06	Turun Linna	TL_D6
batch20250620	F04	F07	Turun Linna	TL_F7
batch20250620	F05	G08	Turun Linna	TL_G8
batch20250620	F06	G10	Turun Linna	TL_G10
batch20250620	F07	A12	Turun Linna	TL_A12
batch20250620	F08	B10	Haunisten Allas	HA_B10
batch20250620	F09	A05	Savojärvi	SJ_A05
batch20250620	G01	E04	Turun Linna	TL_E4
batch20250620	G02	E05	Turun Linna	TL_E5
batch20250620	G03	F06	Turun Linna	TL_F6
batch20250620	G04	H07	Turun Linna	TL_H7
batch20250620	G05	H08	Turun Linna	TL_H8
batch20250620	G06	H10	Turun Linna	TL_H10
batch20250620	G07	B12	Turun Linna	TL_B12
batch20250620	G08	C05	Haunisten Allas	HA_C05
batch20250620	G09	D09	Savojärvi	SJ_D09
batch20250620	H01	F04	Turun Linna	TL_F4
batch20250620	H02	F05	Turun Linna	TL_F5
batch20250620	H03	G06	Turun Linna	TL_G6
batch20250620	H04	A08	Turun Linna	TL_A8
batch20250620	H05	A09	Turun Linna	TL_A9
batch20250620	H06	A11	Turun Linna	TL_A11
batch20250620	H07	C12	Turun Linna	TL_C12
batch20250620	H08	E04	Haunisten Allas	HA_E04
batch20250620	H09	E05	Savojärvi	SJ_E05
